#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"1.0105","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYF-FY2013.CSV","Start Processing"
"76.7796","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYF-FY2013.CSV","End Processing"
"0.5099","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYK-FY2013.CSV","Start Processing"
"9897.0549","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYK-FY2013.CSV","End Processing"
"0.5004","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYMC-FY2013.CSV","Start Processing"
"9287.7016","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYMC-FY2013.CSV","End Processing"
"0.4982","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYY-FY2013.CSV","Start Processing"
"10143.374","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\SYY-FY2013.CSV","End Processing"
"0.4971","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBAC-FY2014.CSV","Start Processing"
"10889.5791","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBAC-FY2014.CSV","End Processing"
"0.5","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBUX-FY2014.CSV","Start Processing"
"10593.4074","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SBUX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SCG-FY2014.CSV","Start Processing"
"11709.5885","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SCG-FY2014.CSV","End Processing"
"0.9846","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SCHW-FY2014.CSV","Start Processing"
"14530.6508","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SCHW-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SEE-FY2014.CSV","Start Processing"
"10214.8884","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SEE-FY2014.CSV","End Processing"
"1.0025","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SHW-FY2014.CSV","Start Processing"
"10768.5533","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SHW-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SIG-FY2014.CSV","Start Processing"
"10965.2873","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SIG-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SJM-FY2014.CSV","Start Processing"
"11671.3477","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SJM-FY2014.CSV","End Processing"
"1.0007","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SLB-FY2014.CSV","Start Processing"
"9755.1739","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SLB-FY2014.CSV","End Processing"
"0.5007","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SLG-FY2014.CSV","Start Processing"
"9874.6863","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SLG-FY2014.CSV","End Processing"
"1.6439","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SNA-FY2014.CSV","Start Processing"
"9216.7804","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SNA-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SNI-FY2014.CSV","Start Processing"
"9749.954","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SNI-FY2014.CSV","End Processing"
"1.0039","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SNPS-FY2014.CSV","Start Processing"
"10174.6091","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SNPS-FY2014.CSV","End Processing"
"1.0051","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SO-FY2014.CSV","Start Processing"
"9035.1419","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\SO-FY2014.CSV","End Processing"
