#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"15.6245","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RCL-FY2013.CSV","Start Processing"
"12498.8055","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RCL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RE-FY2013.CSV","Start Processing"
"9139.3979","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RE-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\REG-FY2013.CSV","Start Processing"
"8976.1599","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\REG-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\REGN-FY2013.CSV","Start Processing"
"9182.9507","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\REGN-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RF-FY2013.CSV","Start Processing"
"9916.5112","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RF-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RHI-FY2013.CSV","Start Processing"
"11466.5483","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RHI-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RHT-FY2013.CSV","Start Processing"
"9699.8272","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RHT-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RJF-FY2013.CSV","Start Processing"
"8849.5987","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RJF-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RL-FY2013.CSV","Start Processing"
"9350.0387","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RMD-FY2013.CSV","Start Processing"
"8916.1779","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RMD-FY2013.CSV","End Processing"
"15.6347","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ROK-FY2013.CSV","Start Processing"
"8816.739","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ROK-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ROP-FY2013.CSV","Start Processing"
"8643.622","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ROP-FY2013.CSV","End Processing"
"0.9977","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ROST-FY2013.CSV","Start Processing"
"9572.3411","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\ROST-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RRC-FY2013.CSV","Start Processing"
"11066.0548","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RRC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RSG-FY2013.CSV","Start Processing"
"9583.3741","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RSG-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RTN-FY2013.CSV","Start Processing"
"8933.1276","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\RTN-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RCL-FY2014.CSV","Start Processing"
"9499.6778","260","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RCL-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RE-FY2014.CSV","Start Processing"
"9566.7545","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RE-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\REG-FY2014.CSV","Start Processing"
"9749.6569","261","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\REG-FY2014.CSV","End Processing"
"0.512","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\REGN-FY2014.CSV","Start Processing"
"9067.702","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\REGN-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RF-FY2014.CSV","Start Processing"
"9132.6005","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RF-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RHI-FY2014.CSV","Start Processing"
"8650.1535","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RHI-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RHT-FY2014.CSV","Start Processing"
"10249.7786","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RHT-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RJF-FY2014.CSV","Start Processing"
"9133.4771","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RJF-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RL-FY2014.CSV","Start Processing"
"9466.1829","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RL-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RMD-FY2014.CSV","Start Processing"
"11083.4305","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RMD-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ROK-FY2014.CSV","Start Processing"
"9249.738","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ROK-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ROP-FY2014.CSV","Start Processing"
"8981.327","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ROP-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ROST-FY2014.CSV","Start Processing"
"9199.7734","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ROST-FY2014.CSV","End Processing"
"0.9889","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RRC-FY2014.CSV","Start Processing"
"9250.4586","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RRC-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RSG-FY2014.CSV","Start Processing"
"9083.3378","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RSG-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RTN-FY2014.CSV","Start Processing"
"9100.0122","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\RTN-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\RCL-FY2015.CSV","Start Processing"
"9116.4589","259","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\RCL-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\RE-FY2015.CSV","Start Processing"
"9149.5042","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\RE-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\REG-FY2015.CSV","Start Processing"
"9066.8123","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\REG-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\REGN-FY2015.CSV","Start Processing"
