#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEC-FY2016.CSV","Start Processing"
"9034.3804","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEC-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEL-FY2016.CSV","Start Processing"
"10166.5104","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XEL-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XL-FY2016.CSV","Start Processing"
"9882.1349","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XL-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XLNX-FY2016.CSV","Start Processing"
"8742.8326","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XLNX-FY2016.CSV","End Processing"
"0.496","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XOM-FY2016.CSV","Start Processing"
"9140.7745","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XOM-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XRAY-FY2016.CSV","Start Processing"
"9616.0886","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XRAY-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XRX-FY2016.CSV","Start Processing"
"9083.2558","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XRX-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XYL-FY2016.CSV","Start Processing"
"9216.4284","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\XYL-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XEC-FY2017.CSV","Start Processing"
"8999.8465","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XEC-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XEL-FY2017.CSV","Start Processing"
"9115.8569","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XEL-FY2017.CSV","End Processing"
"0.5014","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XL-FY2017.CSV","Start Processing"
"8900.0663","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XL-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XLNX-FY2017.CSV","Start Processing"
"8916.4397","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XLNX-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XOM-FY2017.CSV","Start Processing"
"8799.9808","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XOM-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XRAY-FY2017.CSV","Start Processing"
"9276.7992","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XRAY-FY2017.CSV","End Processing"
"0.4945","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XRX-FY2017.CSV","Start Processing"
"9038.3924","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XRX-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XYL-FY2017.CSV","Start Processing"
"8780.826","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\XYL-FY2017.CSV","End Processing"
