#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EXR-FY2013.CSV","Start Processing"
"11149.8828","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\EXR-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EA-FY2014.CSV","Start Processing"
"9933.4295","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EA-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EBAY-FY2014.CSV","Start Processing"
"9899.6013","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EBAY-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ECL-FY2014.CSV","Start Processing"
"10133.3579","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ECL-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ED-FY2014.CSV","Start Processing"
"9766.2547","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\ED-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EFX-FY2014.CSV","Start Processing"
"10093.2269","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EFX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EIX-FY2014.CSV","Start Processing"
"9873.144","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EIX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EL-FY2014.CSV","Start Processing"
"10649.9464","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EL-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EMN-FY2014.CSV","Start Processing"
"9532.8803","260","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EMN-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EMR-FY2014.CSV","Start Processing"
"9865.0014","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EMR-FY2014.CSV","End Processing"
"0.5003","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EOG-FY2014.CSV","Start Processing"
"9784.5004","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EOG-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EQIX-FY2014.CSV","Start Processing"
"9726.6596","253","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EQIX-FY2014.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EQR-FY2014.CSV","Start Processing"
"9872.9672","261","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\EQR-FY2014.CSV","End Processing"
