#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"16.6474","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\V-FY2013.CSV","Start Processing"
"11466.638","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\V-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VAR-FY2013.CSV","Start Processing"
"9616.5025","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VAR-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VFC-FY2013.CSV","Start Processing"
"9149.6994","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VFC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VIAB-FY2013.CSV","Start Processing"
"9766.3294","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VIAB-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VLO-FY2013.CSV","Start Processing"
"10449.9611","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VLO-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VMC-FY2013.CSV","Start Processing"
"11699.6857","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VMC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VNO-FY2013.CSV","Start Processing"
"9546.2417","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VNO-FY2013.CSV","End Processing"
"0.5003","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VRSK-FY2013.CSV","Start Processing"
"9235.879","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VRSK-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\VRSN-FY2013.CSV","Start Processing"
