#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"10.9996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AWK-FY2017.CSV","Start Processing"
"16691.2251","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AWK-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AXP-FY2017.CSV","Start Processing"
"12385.0029","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AXP-FY2017.CSV","End Processing"
"0.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AYI-FY2017.CSV","Start Processing"
"11306.818","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AYI-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AZO-FY2017.CSV","Start Processing"
"10905.2707","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\AZO-FY2017.CSV","End Processing"
#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"10.5004","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BRK-B-FY2017.CSV","Start Processing"
"15237.7228","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BRK-B-FY2017.CSV","End Processing"
"0.4887","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BSX-FY2017.CSV","Start Processing"
"10804.4889","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BSX-FY2017.CSV","End Processing"
"0.4937","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BWA-FY2017.CSV","Start Processing"
"11058.8163","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BWA-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BXP-FY2017.CSV","Start Processing"
"10871.7602","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\BXP-FY2017.CSV","End Processing"
#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"10","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CTXS-FY2017.CSV","Start Processing"
"16490.0021","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CTXS-FY2017.CSV","End Processing"
"0.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CVS-FY2017.CSV","Start Processing"
"10291.7206","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CVS-FY2017.CSV","End Processing"
"0.9981","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CVX-FY2017.CSV","Start Processing"
"11165.0011","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CVX-FY2017.CSV","End Processing"
"1.0043","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CXO-FY2017.CSV","Start Processing"
"11257.3447","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\CXO-FY2017.CSV","End Processing"
#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"19.0002","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\DVA-FY2017.CSV","Start Processing"
"14879.2257","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\DVA-FY2017.CSV","End Processing"
"0.9999","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\DVN-FY2017.CSV","Start Processing"
